muscle_group,subset_muscles,exercise_title,muscle_description_title,muscle_description,exercise_execution_title
Beine,Wade,Donkey Calf Raise mit der Langhantel,Erklärung der Übung,,Die richtige Ausführung
Beine,Wade,Donkey Calf Raise an der Multipresse,Erklärung der Übung,,Die richtige Ausführung
Beine,Oberschenkel,Beinstrecken,Erklärung der Übung,,Die richtige Ausführung
Beine,Oberschenkel,Kurzhantel-Ausfallschritt,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Good Mornings am Kabelzug,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Langhantel-Aufsteiger,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Kurzhantel-Ausfallschritt rückwärts,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Kurzhantel-Kreuzheben mit gestreckten Beinen,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Ausfallschritt rückwärts,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Sitzende Hackenschmidt-Kniebeugen am Gerät,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Diagonaler Ausfallschritt mit Kurzhanteln,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Kniebeugen an der Multipresse,Erklärung der Übung,,Die richtige Ausführung
Brust,Untere Brust,Negativ-Fliegende am Kabelzug,Erklärung der Übung,,Die richtige Ausführung
Brust,Untere Brust,Negativ-Fliegende,Erklärung der Übung,,Die richtige Ausführung
Brust,Sägemuskel,Pull-Over / Überzüge am Gerät,Erklärung der Übung,,Die richtige Ausführung
Brust,Sägemuskel,Pull-Over / Überzüge mit der Langhantel,Erklärung der Übung,,Die richtige Ausführung
Brust,Sägemuskel,Pull-Over / Überzüge am Kabelzug,Erklärung der Übung,,Die richtige Ausführung
Brust,Sägemuskel,Pull-Over / Überzüge,Erklärung der Übung,,Die richtige Ausführung
Brust,Untere Brust,Negativ-Bankdrücken mit Kurzhanteln,Erklärung der Übung,,Die richtige Ausführung
Brust,Untere Brust,Negativ-Bankdrücken,Erklärung der Übung,,Die richtige Ausführung
Brust,Mittlere Brust,Einarmige Liegestütze,Erklärung der Übung,,Die richtige Ausführung
Brust,Mittlere Brust,Brustdrücken mit dem Theraband,Erklärung der Übung,,Die richtige Ausführung
Brust,Mittlere Brust,Liegestütze auf dem Gymnastikball,Erklärung der Übung,,Die richtige Ausführung
Brust,Mittlere Brust,Kurzhantel-Fliegende auf dem Boden,Erklärung der Übung,,Die richtige Ausführung
Brust,Mittlere Brust,Kabelzug-Fliegende auf der Flachbank,Erklärung der Übung,,Die richtige Ausführung
Brust,Mittlere Brust,Hüft-Liegestütze,Erklärung der Übung,,Die richtige Ausführung
Brust,Mittlere Brust,Butterfly am Kabelzug,Erklärung der Übung,,Die richtige Ausführung
Brust,Mittlere Brust,Brustpresse,Erklärung der Übung,,Die richtige Ausführung
Brust,Mittlere Brust,Butterfly,Erklärung der Übung,,Die richtige Ausführung
Brust,Mittlere Brust,Kurzhantel-Bankdrücken,Erklärung der Übung,,Die richtige Ausführung
Brust,Mittlere Brust,Fliegende,Erklärung der Übung,,Die richtige Ausführung
Brust,Mittlere Brust,Liegestütze,Erklärung der Übung,,Die richtige Ausführung
Brust,Mittlere Brust,Bankdrücken,Erklärung der Übung,,Die richtige Ausführung
Rücken,Oberer Rücken,Latzug,Erklärung der Übung,,Latzug auf die Brust
Rücken,Oberer Rücken,Langhantel-Rudern,Erklärung der Übung,,Die richtige Ausführung
Rücken,Oberer Rücken,Rudern am Kabelzug,Erklärung der Übung,,Die richtige Ausführung
Rücken,Oberer Rücken,Klimmzüge,Erklärung der Übung,,Breite Klimmzüge im Obergriff
Rücken,Oberer Rücken,Einarmiges Kurzhantel-Rudern,Erklärung der Übung,,Die richtige Ausführung
Rücken,Unterer Rücken,Sumo-Kreuzheben mit der Kurzhantel,Erklärung der Übung,,Die richtige Ausführung
Rücken,Unterer Rücken,Rückenstrecken auf dem Gymnastikball,Erklärung der Übung,,Die richtige Ausführung
Rücken,Unterer Rücken,Kreuzheben mit gestreckten Beinen,Erklärung der Übung,,Die richtige Ausführung
Rücken,Unterer Rücken,Kurzhantel-Kreuzheben,Erklärung der Übung,,Die richtige Ausführung
Rücken,Unterer Rücken,Rückenstrecken am Gerät,Erklärung der Übung,,Die richtige Ausführung
Rücken,Unterer Rücken,Sumo-Kreuzheben,Erklärung der Übung,,Die richtige Ausführung
Rücken,Unterer Rücken,Rückenstrecken im Liegen,Erklärung der Übung,,Die richtige Ausführung
Rücken,Unterer Rücken,Kreuzheben,Erklärung der Übung,,Die richtige Ausführung
Brust,Obere Brust,Schrägbankdrücken am Gerät,Erklärung der Übung,,Die richtige Ausführung
Brust,Obere Brust,Kabelzug-Fliegende auf der Schrägbank,Erklärung der Übung,,Die richtige Ausführung
Brust,Obere Brust,Fliegende auf der Schrägbank,Erklärung der Übung,,Die richtige Ausführung
Brust,Obere Brust,Schrägbankdrücken,Erklärung der Übung,,Die richtige Ausführung
Brust,Obere Brust,Negativ-Liegestütze,Erklärung der Übung,,Die richtige Ausführung
Brust,Obere Brust,Schrägbankdrücken mit Kurzhanteln,Erklärung der Übung,,Die richtige Ausführung
Arme,Bizeps,Konzentrationscurls am tiefen Block,Erklärung der Übung,,Die richtige Ausführung
Arme,Bizeps,Bizepscurls an zwei tiefen Blöcken,Erklärung der Übung,,Die richtige Ausführung
Arme,Bizeps,Liegende Bizepscurls am tiefen Block,Erklärung der Übung,,Die richtige Ausführung
Arme,Bizeps,Bizepscurls mit dem Theraband,Erklärung der Übung,,Die richtige Ausführung
Arme,Bizeps,Bizepscurls an zwei hohen Blöcken,Erklärung der Übung,,Die richtige Ausführung
Arme,Bizeps,Bizepscurls am tiefen Block,Erklärung der Übung,,Die richtige Ausführung
Arme,Bizeps,Drag-Curls,Erklärung der Übung,,Die richtige Ausführung
Arme,Bizeps,Schrägbank-Scottcurls,Erklärung der Übung,,Die richtige Ausführung
Arme,Bizeps,Bizepscurls auf der Schrägbank,Erklärung der Übung,,Die richtige Ausführung
Arme,Bizeps,Scottcurls,Erklärung der Übung,,Die richtige Ausführung
Arme,Trizeps,Einarmiges Trizepsdrücken am Kabelzug,Erklärung der Übung,,Die richtige Ausführung
Arme,Trizeps,Trizeps-Kickbacks mit dem Theraband,Erklärung der Übung,,Die richtige Ausführung
Arme,Bizeps,Scottcurls am Gerät,Erklärung der Übung,,Die richtige Ausführung
Arme,Bizeps,Bizepscurls,Erklärung der Übung,,Die richtige Ausführung
Arme,Bizeps,Konzentrationscurls,Erklärung der Übung,,Die richtige Ausführung
Arme,Bizeps,Langhantel-Curls,Erklärung der Übung,,Die richtige Ausführung
Arme,Trizeps,Einarmiges Trizepsdrücken mit dem Theraband,Erklärung der Übung,,Die richtige Ausführung
Arme,Trizeps,Kniendes Trizepsdrücken am Kabelzug,Erklärung der Übung,,Die richtige Ausführung
Arme,Trizeps,Stirndrücken am tiefen Block,Erklärung der Übung,,Die richtige Ausführung
Arme,Trizeps,Einarmiges Trizepsdrücken im Liegen,Erklärung der Übung,,Die richtige Ausführung
Arme,Trizeps,Trizepsdrücken,Erklärung der Übung,,Die richtige Ausführung
Arme,Trizeps,Kickbacks,Erklärung der Übung,,Die richtige Ausführung
Arme,Trizeps,Kurzhantel-Stirndrücken,Erklärung der Übung,,Die richtige Ausführung
Arme,Trizeps,Trizeps-Liegestütze,Erklärung der Übung,,Die richtige Ausführung
Arme,Trizeps,Trizepsdrücken über dem Kopf am Kabelzug,Erklärung der Übung,,Die richtige Ausführung
Arme,Trizeps,Einarmiges Trizepsdrücken,Erklärung der Übung,,Die richtige Ausführung
Arme,Trizeps,Kurzhantel-Trizepsdrücken (beidarmig),Erklärung der Übung,,Die richtige Ausführung
